Заказчик;Лоты;Сумма, планируемая для закупки, тенге;Способ;Статус;Код закупки;Наименование;Дата начала;Дата окончания;link
"Акционерное общество ""СНПС-Актобемунайгаз""";7.0;456 769 600.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-432457;Бурение 7 скважин на месторождении Кенкияк-надсолевое -;05.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/432457
"Акционерное общество ""СНПС-Актобемунайгаз""";3.0;694 072.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433316;Сварочные материалы;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433316
"Акционерное общество ""СНПС-Актобемунайгаз""";9.0;14 644 231.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433317;Насосы;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433317
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;58 154 196.43;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433311;Замена системы орошения и обшивка стен с теплоизоляцией на РВС-10000м3 на КНГСС м/р Северная Трува;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433311
"Акционерное общество ""СНПС-Актобемунайгаз""";6.0;1 264 484.80;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433308;Кабель;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433308
"Акционерное общество ""СНПС-Актобемунайгаз""";7.0;6 287 572.36;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433307;Бытовая техника;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433307
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;5 297 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433301;Трубка рентгеновская БХВ 17 -Ti;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433301
"Акционерное общество ""СНПС-Актобемунайгаз""";2.0;5 143 200.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433300;конденсатоотводчик;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433300
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;2 065 305.60;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433297;Кварцевый песок;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433297
"Акционерное общество ""СНПС-Актобемунайгаз""";3.0;33 928 571.65;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433295;Биологическая рекультивация земель на м/р Жанажол, м/р Северная Трува, м/р Кенкияк;16.04.2025 09:00:00;30.04.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433295
